t=2022-12-19T23:17:38-0800 lvl=info msg="no configuration paths supplied"
t=2022-12-19T23:17:38-0800 lvl=info msg="using configuration at default config path" path=/root/.config/ngrok/ngrok.yml
t=2022-12-19T23:17:38-0800 lvl=info msg="open config file" path=/root/.config/ngrok/ngrok.yml err=nil
t=2022-12-19T23:17:38-0800 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040
t=2022-12-19T23:17:39-0800 lvl=info msg="tunnel session started" obj=tunnels.session
t=2022-12-19T23:17:39-0800 lvl=info msg="client session established" obj=csess id=e86c2e29c65b
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=619cf8adf5b5 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=ef22ad82506b l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=69dba29d8b25 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=06eb78678aca l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=33504534833f l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=29ddf0c5dd19 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=afc3487b2c57 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=7b89bbca3a2d l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=151dcc11dbd0 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=6f73b8e2ca65 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=6f6209eb39e1 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=9a6f0d5b2435 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=d70830bf8e65 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=c05fec4705de l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=cb02aea08223 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=dc8d3c028383 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=1567451a5395 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=25ee275f5352 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=6df8b3708ea1 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=3e8d93034737 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=e5e7c744da42 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=374417493631 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=625fbacd5247 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=3dd3aa945fdc l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=8dc308aa4645 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:18:20-0800 lvl=info msg="join connections" obj=join id=3f848dc88570 l=[::1]:8080 r=123.21.127.80:52092
t=2022-12-19T23:19:03-0800 lvl=info msg="join connections" obj=join id=ad219e92521e l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:03-0800 lvl=info msg="join connections" obj=join id=1ead3c81c3fa l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:05-0800 lvl=info msg="join connections" obj=join id=ab3ddd1e270b l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:05-0800 lvl=info msg="join connections" obj=join id=933e178b0b7e l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:05-0800 lvl=info msg="join connections" obj=join id=bbb213656b34 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:05-0800 lvl=info msg="join connections" obj=join id=32735c94832b l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:05-0800 lvl=info msg="join connections" obj=join id=b9b83baa0cac l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:17-0800 lvl=info msg="join connections" obj=join id=86a6e2a657ca l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:17-0800 lvl=info msg="join connections" obj=join id=6ced6ca68e6c l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:17-0800 lvl=info msg="join connections" obj=join id=83c95125969f l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:17-0800 lvl=info msg="join connections" obj=join id=928ff1158cdd l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:17-0800 lvl=info msg="join connections" obj=join id=8670173d9405 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=e8ff67007497 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=9e4a1a5a566b l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=4435a55057ea l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=98d514e97173 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=ccaf6e16551d l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=6bd3d6929d39 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=0ac87e0fecbc l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=cd15af5a44fd l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=fe606316e4ee l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=9929b0ccd4b2 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=7ec0efe71f14 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:19-0800 lvl=info msg="join connections" obj=join id=16c8be4246af l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:20-0800 lvl=info msg="join connections" obj=join id=29912a93f117 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:20-0800 lvl=info msg="join connections" obj=join id=529c11294074 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:20-0800 lvl=info msg="join connections" obj=join id=ab5e15b5202b l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:19:20-0800 lvl=info msg="join connections" obj=join id=b3536506cd41 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:55832
t=2022-12-19T23:30:53-0800 lvl=info msg="join connections" obj=join id=c2ec3e8afaa3 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:30:53-0800 lvl=info msg="join connections" obj=join id=5559c99c7567 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:30:53-0800 lvl=info msg="join connections" obj=join id=7529c5c9a8ba l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:30:53-0800 lvl=info msg="join connections" obj=join id=a5bccc7106d0 l=[::1]:8080 r=[2001:ee0:4f84:35f0:d02d:f9d4:fa5a:b784]:56089
t=2022-12-19T23:30:54-0800 lvl=info msg="join connections" obj=join id=a5ff84326402 l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:54-0800 lvl=info msg="join connections" obj=join id=f4bf49ce127b l=[::1]:8080 r=123.21.127.80:63905
t=2022-12-19T23:30:54-0800 lvl=info msg="join connections" obj=join id=38cd6a366e48 l=[::1]:8080 r=123.21.127.80:63905
